network_name,date,start_hour,end_hour,shift
ant_aws05,20130106,13.5,20.5,c
ant_aws05,20130114,4.5,17.5,c
ant_aws05,20130116,4.5,23.5,c
ant_aws05,20130117,4.5,23.5,c
ant_aws05,20130119,15.5,23.5,c
ant_aws05,20130124,12.5,20.5,c
ant_aws05,20130127,11.5,18.5,l1
ant_aws05,20130206,3.5,14.5,c
ant_aws05,20130210,7.5,15.5,c
ant_aws05,20130211,6.5,16.5,c
ant_aws05,20130212,6.5,14.5,c
ant_aws05,20130216,11.5,18.5,c
ant_aws05,20130314,9.5,17.5,c
ant_aws05,20130315,9.5,16.5,c
ant_aws05,20130323,9.5,16.5,c
ant_aws05,20130326,9.5,15.5,r1
ant_aws05,20130327,9.5,15.5,c
ant_aws05,20130916,9.5,15.5,c
ant_aws05,20130917,9.5,16.5,c
ant_aws05,20130929,8.5,16.5,c
ant_aws05,20130930,9.5,17.5,c
ant_aws05,20131005,8.5,16.5,c
ant_aws05,20131028,13.5,21.5,c
ant_aws05,20131103,6.5,19.5,c
ant_aws05,20131114,0.5,11.5,c
ant_aws05,20131120,5.5,23.5,c
ant_aws05,20131121,0.5,23.5,c
ant_aws05,20131122,2.5,16.5,c
ant_aws05,20131123,9.5,16.5,c
ant_aws05,20131124,2.5,15.5,c
ant_aws05,20131126,2.5,14.5,c
ant_aws05,20131127,2.5,23.5,c
ant_aws05,20131129,11.5,23.5,c
ant_aws05,20131130,2.5,18.5,c
ant_aws05,20131203,8.5,15.5,c
ant_aws05,20131204,2.5,10.5,c
ant_aws05,20131206,4.5,16.5,c
ant_aws05,20131207,12.5,23.5,c
ant_aws05,20131208,4.5,17.5,c
ant_aws05,20131221,4.5,14.5,c
ant_aws05,20131224,11.5,20.5,c
ant_aws05,20131228,4.5,23.5,c
ant_aws05,20131229,4.5,23.5,c
ant_aws05,20131231,10.5,17.5,r1
ant_aws05,20140102,12.5,23.5,c
ant_aws05,20140105,13.5,23.5,c
ant_aws05,20140126,9.5,20.5,c
ant_aws05,20140127,8.5,23.5,c
ant_aws09,20130101,0.5,23.5,c
ant_aws09,20130108,8.5,23.5,c
ant_aws09,20130109,6.5,23.5,c
ant_aws09,20130114,4.5,23.5,c
ant_aws09,20130115,0.5,23.5,c
ant_aws09,20130116,9.5,18.5,c
ant_aws09,20130117,13.5,23.5,c
ant_aws09,20130118,0.5,14.5,c
ant_aws09,20130119,9.5,23.5,c
ant_aws09,20130120,6.5,23.5,c
ant_aws09,20130121,7.5,23.5,c
ant_aws09,20130124,0.5,23.5,c
ant_aws09,20130125,0.5,13.5,c
ant_aws09,20130126,13.5,23.5,c
ant_aws09,20130127,0.5,23.5,c
ant_aws09,20130128,10.5,18.5,c
ant_aws09,20130129,14.5,23.5,c
ant_aws09,20130130,7.5,23.5,c
ant_aws09,20130131,0.5,23.5,c
ant_aws09,20130205,9.5,16.5,r1
ant_aws09,20130212,12.5,22.5,c
ant_aws09,20130303,11.5,19.5,c
ant_aws09,20131021,10.5,17.5,r1
ant_aws09,20131029,8.5,18.5,c
ant_aws09,20131112,10.5,23.5,c
ant_aws09,20131119,9.5,17.5,c
ant_aws09,20131121,10.5,23.5,c
ant_aws09,20131122,8.5,23.5,c
ant_aws09,20131123,0.5,12.5,c
ant_aws09,20131126,5.5,14.5,c
ant_aws09,20131127,7.5,21.5,c
ant_aws09,20131130,6.5,13.5,c
ant_aws09,20131203,12.5,23.5,c
ant_aws09,20131204,0.5,16.5,c
ant_aws09,20131205,11.5,23.5,c
ant_aws09,20131206,2.5,13.5,r1
