ID,network_name,lat,lon, Elevationm, InstallationDate, LastValidDate,Length of record (dec. year),start CR1000,active,main AWS,minor AWS,Notes
0,Swiss Camp,69.5556,-49.3647,1138,1995-01-01,2022-08-03,27.61,2009-05-07,,1,0,27
1,Crawford Point 1,69.8742,-47.0242,2022,1995-05-23,2020-07-22,25.18,2010-05-09,,1,0,
2,NASA-U,73.8407,-49.5265,2369,1995-05-31,2022-09-11,27.30,2011-05-31,1,1,0,
3,GITS,77.1378,-61.0411,1887,1995-06-07,2021-08-13,26.20,,,1,0,
4,Humboldt,78.5283,-56.8423,1950,1995-06-22,2022-06-25,27.03,,1,1,0,Working intermittently
5,Summit,72.5797,-38.5045,3254,1996-05-13,2022-09-11,26.35,2009-05-19,1,1,0,
6,Tunu-N,78.0188,-33.9668,2113,1996-05-16,2022-09-11,26.34,,1,1,0,Not transmitting
7,DYE-2,66.4820,-46.2908,2165,1996-05-24,2022-09-11,26.32,2009-05-16,1,1,0,
8,JAR1,69.4933,-49.7142,900,1996-06-19,2019-09-08,23.24,,,1,0,
9,Saddle,65.9999,-44.5026,2451,1997-04-20,2021-10-16,24.51,2010-04-30,,1,0,
10,South Dome,63.1489,-44.8175,2878,1997-04-23,2021-06-21,24.18,2009-05-15,,1,0,
11,NASA-E,75.0023,-29.9838,2610,1997-05-03,2022-09-11,25.38,2011-06-02,1,1,0,
12,CP2,69.9133,-46.8547,1990,1997-05-12,2001-05-29,4.05,,,0,1,
13,NGRIP,75.0998,-42.3326,2950,1997-07-09,2010-05-08,12.84,,,1,0,
14,NASA-SE,66.4779,-42.4951,2360,1998-04-24,2019-09-26,21.44,2009-04-26,,1,0,
15,KAR,69.6994,-33.0006,2579,1999-05-19,2001-06-07,2.05,,,0,1,
16,JAR2,69.4200,-50.0575,568,1999-05-30,2013-06-16,14.06,,,1,0,
17,JAR3,69.3944,-50.3100,323,2000-05-28,2004-05-25,3.99,,,0,1,
18,Aurora,67.1358,-47.2922,,2000-06-24,2001-05-06,0.87,,,0,1,
19,Petermann Glacier,80.6836,-60.2931,37,2002-06-04,2006-05-01,3.91,,,0,1,
20,Petermann ELA,80.0993,-58.1497,907,2003-05-23,2022-09-11,19.32,2011-06-02,1,1,0,
21,NEEM,77.4413,-51.0999,2460,2006-03-29,2022-09-11,16.47,2009-05-30,1,1,0,
